Wall time,Step,Value
1748157954.872457,1,922.0568237304688
1748158176.653129,2,730.0098876953125
1748158402.402889,3,712.0068969726562
1748158629.596375,4,543.5509033203125
1748158856.7327445,5,427.6439514160156
1748159081.1888885,6,363.205322265625
1748159302.4538012,7,319.7412414550781
1748159524.0296586,8,288.9018859863281
1748159746.223031,9,266.6089782714844
1748159968.4673615,10,249.79122924804688
1748160189.616385,11,235.42222595214844
1748160410.59272,12,224.302490234375
1748160644.3185616,13,214.60165405273438
1748160884.7317646,14,206.29905700683594
1748161124.7341266,15,199.52621459960938
1748161363.830002,16,193.40890502929688
1748161604.7029552,17,187.91712951660156
1748161845.1630802,18,182.9589080810547
1748162085.671504,19,178.64920043945312
1748162326.8475833,20,174.73997497558594
1748162567.4870634,21,171.3099365234375
1748162808.666332,22,167.68035888671875
1748163048.557128,23,164.4623565673828
1748163287.538408,24,161.45767211914062
1748163526.4925094,25,158.57925415039062
1748163765.8730462,26,156.11376953125
1748164005.2332637,27,153.66110229492188
1748164244.1547632,28,151.2803497314453
1748164483.0505757,29,149.46075439453125
1748164722.126916,30,147.50306701660156
1748164961.2332265,31,145.69033813476562
1748165200.5315335,32,143.5723876953125
1748165439.398076,33,141.55609130859375
1748165678.734292,34,140.0313262939453
1748165917.9712296,35,138.38368225097656
1748166157.0472286,36,136.6635284423828
1748166396.4235036,37,135.17665100097656
1748166637.0089364,38,133.8589324951172
1748166876.6242692,39,132.7613983154297
1748167115.7327285,40,131.3436279296875
